,Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G_minus_PK,PK,PKatt,CrdY,CrdR,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,Url,xG_Expected,npxG_Expected,xA_Expected,npxG+xA_Expected,xG_Per,xA_Per,xG+xA_Per,npxG_Per,npxG+xA_Per,BO_JK,Nom,Pays,Club,%,UCL_JK,won_UCL,Squad_JK,Nation_JK,winner_Bundesliga,winner_C3,finalist_C3,winner_UCL,finalist_UCL,winner_Club WC,finalist_Club WC,winner_Copa America,finalist_Copa America,winner_Euro,finalist_Euro,winner_Liga,winner_Ligue 1,winner_PL,winner_Serie A,winner_WC,finalist_WC
566,2014,Real Madrid,La Liga,Karim Benzema,FRA,FW,25.0,1987.0,35.0,34.0,2733.0,30.4,17.0,8.0,17.0,0.0,0.0,2.0,0.0,0.56,0.26,0.82,0.56,0.82,https://fbref.com/en/players/70d74ece/Karim-Benzema,,,,,,,,,,2014Karim Benzema,Karim Benzema,France,Real Madrid,"0,75 %",2014Real Madrid,1,2014Real Madrid,2014FRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
567,2014,Barcelona,La Liga,Andrés Iniesta,ESP,MF,29.0,1984.0,35.0,27.0,2482.0,27.6,3.0,7.0,2.0,1.0,1.0,0.0,0.0,0.11,0.25,0.36,0.07,0.33,https://fbref.com/en/players/cfd65a29/Andres-Iniesta,,,,,,,,,,2014Andrés Iniesta,Andrés Iniesta,Espagne,FC Barcelone,"0,67 %",2014Barcelona,0,2014Barcelona,2014ESP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
568,2014,Bayern Munich,Bundesliga,Bastian Schweinsteiger,GER,"DF,MF",28.0,1984.0,23.0,22.0,1824.0,20.3,4.0,4.0,4.0,0.0,0.0,4.0,0.0,0.2,0.2,0.39,0.2,0.39,https://fbref.com/en/players/ccc22fea/Bastian-Schweinsteiger,,,,,,,,,,2014Bastian Schweinsteiger,Bastian Schweinsteiger,Allemagne,Bayern Munich,"0,57 %",2014Bayern Munich,0,2014Bayern Munich,2014GER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
569,2014,Barcelona,La Liga,Javier Mascherano,ARG,"DF,MF",29.0,1984.0,28.0,27.0,2358.0,26.2,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/5070881b/Javier-Mascherano,,,,,,,,,,2014Javier Mascherano,Javier Mascherano,Argentine,FC Barcelone,"0,55 %",2014Barcelona,0,2014Barcelona,2014ARG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
570,2014,Atlético Madrid,La Liga,Thibaut Courtois,BEL,GK,21.0,1992.0,37.0,37.0,3330.0,37.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/1840e36d/Thibaut-Courtois,,,,,,,,,,2014Thibaut Courtois,Thibaut Courtois,Belgique,Atlético de Madrid Chelsea FC,"0,51 %",2014Atlético Madrid,0,2014Atlético Madrid,2014BEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
571,2014,Chelsea,Premier League,Eden Hazard,BEL,"FW,MF",22.0,1991.0,35.0,32.0,2888.0,32.1,14.0,7.0,10.0,4.0,4.0,2.0,0.0,0.44,0.22,0.65,0.31,0.53,https://fbref.com/en/players/a39bb753/Eden-Hazard,,,,,,,,,,2014Eden Hazard,Eden Hazard,Belgique,Chelsea,"0,47 %",2014Chelsea,0,2014Chelsea,2014BEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
572,2014,Juventus,Serie A,Paul Pogba,FRA,MF,20.0,1993.0,36.0,33.0,3066.0,34.1,7.0,8.0,7.0,0.0,0.0,4.0,0.0,0.21,0.23,0.44,0.21,0.44,https://fbref.com/en/players/867239d3/Paul-Pogba,,,,,,,,,,2014Paul Pogba,Paul Pogba,France,Juventus,"0,40 %",2014Juventus,0,2014Juventus,2014FRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
573,2014,Real Madrid,La Liga,Sergio Ramos,ESP,DF,27.0,1986.0,32.0,32.0,2751.0,30.6,4.0,1.0,4.0,0.0,0.0,11.0,2.0,0.13,0.03,0.16,0.13,0.16,https://fbref.com/en/players/08511d65/Sergio-Ramos,,,,,,,,,,2014Sergio Ramos,Sergio Ramos,Espagne,Real Madrid,"0,33 %",2014Real Madrid,1,2014Real Madrid,2014ESP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
574,2015,Barcelona,La Liga,Lionel Messi,ARG,"FW,MF",27.0,1987.0,38.0,37.0,3375.0,37.5,43.0,18.0,38.0,5.0,6.0,4.0,0.0,1.15,0.48,1.63,1.01,1.49,https://fbref.com/en/players/d70ce98e/Lionel-Messi,,,,,,,,,,2015Lionel Messi,Lionel Messi,Argentine,FC Barcelone,0.4112650871703174,2015Barcelona,1,2015Barcelona,2015ARG,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
575,2015,Real Madrid,La Liga,Cristiano Ronaldo,POR,"FW,MF",29.0,1985.0,35.0,35.0,3100.0,34.4,48.0,16.0,38.0,10.0,12.0,5.0,1.0,1.39,0.46,1.86,1.1,1.57,https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo,,,,,,,,,,2015Cristiano Ronaldo,Cristiano Ronaldo,Portugal,Real Madrid,0.28207420652659815,2015Real Madrid,0,2015Real Madrid,2015POR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
576,2015,Barcelona,La Liga,Neymar,BRA,"FW,MF",22.0,1992.0,33.0,29.0,2562.0,28.5,22.0,7.0,21.0,1.0,1.0,6.0,0.0,0.77,0.25,1.02,0.74,0.98,https://fbref.com/en/players/69384e5d/Neymar,,,,,,,,,,2015Neymar,Neymar,Brésil,FC Barcelone,0.07510058113544926,2015Barcelona,1,2015Barcelona,2015BRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
577,2015,Bayern Munich,Bundesliga,Robert Lewandowski,POL,FW,25.0,1988.0,31.0,28.0,2480.0,27.6,17.0,5.0,16.0,1.0,1.0,0.0,0.0,0.62,0.18,0.8,0.58,0.76,https://fbref.com/en/players/8d78e732/Robert-Lewandowski,,,,,,,,,,2015Robert Lewandowski,Robert Lewandowski,Pologne,Bayern Munich,0.04202056325435852,2015Bayern Munich,0,2015Bayern Munich,2015POL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
578,2015,Barcelona,La Liga,Luis Suárez,URU,FW,27.0,1987.0,27.0,25.0,2159.0,24.0,16.0,13.0,16.0,0.0,0.0,4.0,0.0,0.67,0.54,1.21,0.67,1.21,https://fbref.com/en/players/a6154613/Luis-Suarez,,,,,,,,,,2015Luis Suárez,Luis Suárez,Uruguay,FC Barcelone,0.037103263299061245,2015Barcelona,1,2015Barcelona,2015URU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
579,2015,Bayern Munich,Bundesliga,Thomas Müller,GER,"FW,MF",24.0,1989.0,32.0,28.0,2364.0,26.3,13.0,10.0,10.0,3.0,3.0,1.0,0.0,0.49,0.38,0.88,0.38,0.76,https://fbref.com/en/players/3c6089ab/Thomas-Muller,,,,,,,,,,2015Thomas Müller,Thomas Müller,Allemagne,Bayern Munich,0.02168082253017434,2015Bayern Munich,0,2015Bayern Munich,2015GER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
580,2015,Bayern Munich,Bundesliga,Manuel Neuer,GER,GK,28.0,1986.0,32.0,31.0,2867.0,31.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/8778c910/Manuel-Neuer,,,,,,,,,,2015Manuel Neuer,Manuel Neuer,Allemagne,Bayern Munich,0.019222172552525705,2015Bayern Munich,0,2015Bayern Munich,2015GER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
581,2015,Chelsea,Premier League,Eden Hazard,BEL,"FW,MF",23.0,1991.0,38.0,38.0,3367.0,37.4,14.0,9.0,11.0,3.0,4.0,2.0,0.0,0.37,0.24,0.61,0.29,0.53,https://fbref.com/en/players/a39bb753/Eden-Hazard,,,,,,,,,,2015Eden Hazard,Eden Hazard,Belgique,Chelsea,0.013857845328565042,2015Chelsea,0,2015Chelsea,2015BEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
582,2015,Barcelona,La Liga,Andrés Iniesta,ESP,MF,30.0,1984.0,24.0,19.0,1574.0,17.5,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.06,0.06,0.0,0.06,https://fbref.com/en/players/cfd65a29/Andres-Iniesta,,,,,,,,,,2015Andrés Iniesta,Andrés Iniesta,Espagne,FC Barcelone,0.012293249888243183,2015Barcelona,1,2015Barcelona,2015ESP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
583,2015,Arsenal,Premier League,Alexis Sánchez,CHI,"FW,MF",25.0,1988.0,35.0,34.0,2942.0,32.7,16.0,8.0,16.0,0.0,1.0,4.0,0.0,0.49,0.24,0.73,0.49,0.73,https://fbref.com/en/players/2c0f8e9e/Alexis-Sanchez,,,,,,,,,,2015Alexis Sánchez,Alexis Sánchez,Chili,Arsenal,0.011399195350916406,2015Arsenal,0,2015Arsenal,2015CHI,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
585,2015,Manchester City,Premier League,Yaya Touré,CIV,MF,31.0,1983.0,29.0,27.0,2353.0,26.1,10.0,2.0,8.0,2.0,2.0,5.0,0.0,0.38,0.08,0.46,0.31,0.38,https://fbref.com/en/players/c204f844/Yaya-Toure,,,,,,,,,,2015Yaya Touré,Yaya Touré,Côte d’Ivoire,Manchester City,0.008493518104604381,2015Manchester City,0,2015Manchester City,2015CIV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
586,2015,Manchester City,Premier League,Sergio Agüero,ARG,FW,26.0,1988.0,33.0,30.0,2531.0,28.1,26.0,8.0,21.0,5.0,6.0,4.0,0.0,0.92,0.28,1.21,0.75,1.03,https://fbref.com/en/players/4d034881/Sergio-Aguero,,,,,,,,,,2015Sergio Agüero,Sergio Agüero,Argentine,Manchester City,0.008270004470272686,2015Manchester City,0,2015Manchester City,2015ARG,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
587,2015,Barcelona,La Liga,Javier Mascherano,ARG,"DF,MF",30.0,1984.0,28.0,26.0,2205.0,24.5,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/5070881b/Javier-Mascherano,,,,,,,,,,2015Javier Mascherano,Javier Mascherano,Argentine,FC Barcelone,0.007822977201609299,2015Barcelona,1,2015Barcelona,2015ARG,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
588,2015,Juventus,Serie A,Paul Pogba,FRA,MF,21.0,1993.0,26.0,24.0,2108.0,23.4,8.0,3.0,8.0,0.0,0.0,4.0,0.0,0.34,0.13,0.47,0.34,0.47,https://fbref.com/en/players/867239d3/Paul-Pogba,,,,,,,,,,2015Paul Pogba,Paul Pogba,France,Juventus,0.007152436298614216,2015Juventus,0,2015Juventus,2015FRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
589,2015,Real Madrid,La Liga,Gareth Bale,WAL,"FW,MF",25.0,1989.0,31.0,30.0,2573.0,28.6,13.0,9.0,12.0,1.0,1.0,2.0,0.0,0.45,0.31,0.77,0.42,0.73,https://fbref.com/en/players/a58bb1e1/Gareth-Bale,,,,,,,,,,2015Gareth Bale,Gareth Bale,Pays de Galles,Real Madrid,0.006481895395619133,2015Real Madrid,0,2015Real Madrid,2015WAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
590,2015,Juventus,Serie A,Arturo Vidal,CHI,MF,27.0,1987.0,28.0,23.0,2082.0,23.1,7.0,4.0,5.0,2.0,3.0,7.0,0.0,0.3,0.17,0.48,0.22,0.39,https://fbref.com/en/players/67cdbc0e/Arturo-Vidal,,,,,,,,,,2015Arturo Vidal,Arturo Vidal,Chili,Juventus Bayern Munich,0.00581135449262405,2015Juventus,0,2015Juventus,2015CHI,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
591,2015,Wolfsburg,Bundesliga,Kevin De Bruyne,BEL,"FW,MF",23.0,1991.0,34.0,34.0,3047.0,33.9,10.0,20.0,10.0,0.0,0.0,3.0,0.0,0.3,0.59,0.89,0.3,0.89,https://fbref.com/en/players/e46012d4/Kevin-De-Bruyne,,,,,,,,,,2015Kevin De Bruyne,Kevin De Bruyne,Belgique,VfL Wolfsbourg Manchester City,0.004693786320965579,2015Wolfsburg,0,2015Wolfsburg,2015BEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
592,2015,Real Madrid,La Liga,James Rodríguez,COL,"FW,MF",23.0,1991.0,29.0,29.0,2265.0,25.2,13.0,13.0,13.0,0.0,0.0,5.0,0.0,0.52,0.52,1.03,0.52,1.03,https://fbref.com/en/players/715bf047/James-Rodriguez,,,,,,,,,,2015James Rodríguez,James Rodríguez,Colombie,Real Madrid,0.004470272686633884,2015Real Madrid,0,2015Real Madrid,2015COL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
593,2015,Real Madrid,La Liga,Karim Benzema,FRA,FW,26.0,1987.0,29.0,29.0,2278.0,25.3,15.0,11.0,15.0,0.0,0.0,1.0,0.0,0.59,0.43,1.03,0.59,1.03,https://fbref.com/en/players/70d74ece/Karim-Benzema,,,,,,,,,,2015Karim Benzema,Karim Benzema,France,Real Madrid,0.004023245417970496,2015Real Madrid,0,2015Real Madrid,2015FRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
594,2015,Real Madrid,La Liga,Toni Kroos,GER,MF,24.0,1990.0,36.0,36.0,3049.0,33.9,2.0,7.0,2.0,0.0,0.0,6.0,0.0,0.06,0.21,0.27,0.06,0.27,https://fbref.com/en/players/6ce1f46f/Toni-Kroos,,,,,,,,,,2015Toni Kroos,Toni Kroos,Allemagne,Real Madrid,0.002905677246312025,2015Real Madrid,0,2015Real Madrid,2015GER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
595,2015,Bayern Munich,Bundesliga,Arjen Robben,NED,"FW,MF",30.0,1984.0,21.0,20.0,1673.0,18.6,17.0,7.0,15.0,2.0,2.0,0.0,0.0,0.91,0.38,1.29,0.81,1.18,https://fbref.com/en/players/09586899/Arjen-Robben,,,,,,,,,,2015Arjen Robben,Arjen Robben,Pays-Bas,Bayern Munich,0.002905677246312025,2015Bayern Munich,0,2015Bayern Munich,2015NED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
597,2016,Real Madrid,La Liga,Cristiano Ronaldo,POR,"FW,MF",30.0,1985.0,36.0,36.0,3182.0,35.4,35.0,11.0,29.0,6.0,9.0,3.0,0.0,0.99,0.31,1.3,0.82,1.13,https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo,,,,,,,,,,2016Cristiano Ronaldo,Cristiano Ronaldo,Portugal,Real Madrid,0.47848426461143223,2016Real Madrid,1,2016Real Madrid,2016POR,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
598,2016,Barcelona,La Liga,Lionel Messi,ARG,FW,28.0,1987.0,33.0,31.0,2729.0,30.3,26.0,16.0,23.0,3.0,6.0,3.0,0.0,0.86,0.53,1.39,0.76,1.29,https://fbref.com/en/players/d70ce98e/Lionel-Messi,,,,,,,,,,2016Lionel Messi,Lionel Messi,Argentine,FC Barcelone,0.2029543994861914,2016Barcelona,0,2016Barcelona,2016ARG,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
599,2016,Atlético Madrid,La Liga,Antoine Griezmann,FRA,FW,24.0,1991.0,38.0,36.0,3025.0,33.6,22.0,5.0,21.0,1.0,2.0,5.0,0.0,0.65,0.15,0.8,0.62,0.77,https://fbref.com/en/players/df69b544/Antoine-Griezmann,,,,,,,,,,2016Antoine Griezmann,Antoine Griezmann,France,Atlético Madrid,0.12716763005780346,2016Atlético Madrid,0,2016Atlético Madrid,2016FRA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
600,2016,Barcelona,La Liga,Luis Suárez,URU,FW,28.0,1987.0,35.0,35.0,3150.0,35.0,40.0,16.0,37.0,3.0,5.0,6.0,0.0,1.14,0.46,1.6,1.06,1.51,https://fbref.com/en/players/a6154613/Luis-Suarez,,,,,,,,,,2016Luis Suárez,Luis Suárez,Uruguay,FC Barcelone,0.05844572896596018,2016Barcelona,0,2016Barcelona,2016URU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601,2016,Barcelona,La Liga,Neymar,BRA,FW,23.0,1992.0,34.0,34.0,3055.0,33.9,24.0,12.0,19.0,5.0,7.0,6.0,0.0,0.71,0.35,1.06,0.56,0.91,https://fbref.com/en/players/69384e5d/Neymar,,,,,,,,,,2016Neymar,Neymar,Brésil,FC Barcelone,0.04367373153500321,2016Barcelona,0,2016Barcelona,2016BRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
602,2016,Real Madrid,La Liga,Gareth Bale,WAL,"FW,MF",26.0,1989.0,23.0,21.0,1730.0,19.2,19.0,10.0,19.0,0.0,0.0,2.0,0.0,0.99,0.52,1.51,0.99,1.51,https://fbref.com/en/players/a58bb1e1/Gareth-Bale,,,,,,,,,,2016Gareth Bale,Gareth Bale,Pays de Galles,Real Madrid,0.038535645472061654,2016Real Madrid,1,2016Real Madrid,2016WAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603,2016,Leicester City,Premier League,Riyad Mahrez,ALG,MF,24.0,1991.0,37.0,36.0,3034.0,33.7,17.0,11.0,13.0,4.0,6.0,1.0,0.0,0.5,0.33,0.83,0.39,0.71,https://fbref.com/en/players/892d5bb1/Riyad-Mahrez,,,,,,,,,,2016Riyad Mahrez,Riyad Mahrez,Algérie,Leicester City,0.012845215157353885,2016Leicester City,0,2016Leicester City,2016ALG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
604,2016,Leicester City,Premier League,Jamie Vardy,ENG,FW,28.0,1987.0,36.0,36.0,3133.0,34.8,24.0,6.0,19.0,5.0,6.0,6.0,1.0,0.69,0.17,0.86,0.55,0.72,https://fbref.com/en/players/45963054/Jamie-Vardy,,,,,,,,,,2016Jamie Vardy,Jamie Vardy,Angleterre,Leicester City,0.007064868336544637,2016Leicester City,0,2016Leicester City,2016ENG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
605,2016,Juventus,Serie A,Gianluigi Buffon,ITA,GK,37.0,1978.0,35.0,35.0,3150.0,35.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/e40d028b/Gianluigi-Buffon,,,,,,,,,,2016Gianluigi Buffon,Gianluigi Buffon,Italie,Juventus FC,0.005138086062941554,2016Juventus,0,2016Juventus,2016ITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
606,2016,Real Madrid,La Liga,Pepe,POR,DF,32.0,1983.0,21.0,21.0,1884.0,20.9,1.0,1.0,1.0,0.0,0.0,5.0,0.0,0.05,0.05,0.1,0.05,0.1,https://fbref.com/en/players/c906ce0f/Pepe,,,,,,,,,,2016Pepe,Pepe,Portugal,Real Madrid,0.005138086062941554,2016Real Madrid,1,2016Real Madrid,2016POR,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
607,2016,Dortmund,Bundesliga,Pierre-Emerick Aubameyang,GAB,FW,26.0,1989.0,31.0,28.0,2467.0,27.4,25.0,5.0,22.0,3.0,4.0,4.0,0.0,0.91,0.18,1.09,0.8,0.99,https://fbref.com/en/players/d5dd5f1f/Pierre-Emerick-Aubameyang,,,,,,,,,,2016Pierre-Emerick Aubameyang,Pierre-Emerick Aubameyang,Gabon,Borussia Dortmund,0.00449582530507386,2016Dortmund,0,2016Dortmund,2016GAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
610,2016,Juventus,Serie A,Paul Pogba,FRA,MF,22.0,1993.0,35.0,33.0,3019.0,33.5,8.0,12.0,7.0,1.0,2.0,10.0,0.0,0.24,0.36,0.6,0.21,0.57,https://fbref.com/en/players/867239d3/Paul-Pogba,,,,,,,,,,2016Paul Pogba,Paul Pogba,France,Juventus FC Manchester United,0.002569043031470777,2016Juventus,0,2016Juventus,2016FRA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
611,2016,Bayern Munich,Bundesliga,Arturo Vidal,CHI,MF,28.0,1987.0,30.0,24.0,2042.0,22.7,4.0,5.0,4.0,0.0,0.0,3.0,0.0,0.18,0.22,0.4,0.18,0.4,https://fbref.com/en/players/67cdbc0e/Arturo-Vidal,,,,,,,,,,2016Arturo Vidal,Arturo Vidal,Chili,Bayern Munich,0.002569043031470777,2016Bayern Munich,0,2016Bayern Munich,2016CHI,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
612,2016,Bayern Munich,Bundesliga,Robert Lewandowski,POL,FW,26.0,1988.0,32.0,29.0,2653.0,29.5,30.0,2.0,28.0,2.0,2.0,2.0,0.0,1.02,0.07,1.09,0.95,1.02,https://fbref.com/en/players/8d78e732/Robert-Lewandowski,,,,,,,,,,2016Robert Lewandowski,Robert Lewandowski,Pologne,Bayern Munich,0.0019267822736030828,2016Bayern Munich,0,2016Bayern Munich,2016POL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
613,2016,Real Madrid,La Liga,Toni Kroos,GER,MF,25.0,1990.0,32.0,32.0,2734.0,30.4,1.0,10.0,1.0,0.0,0.0,3.0,0.0,0.03,0.33,0.36,0.03,0.36,https://fbref.com/en/players/6ce1f46f/Toni-Kroos,,,,,,,,,,2016Toni Kroos,Toni Kroos,Allemagne,Real Madrid,0.0006422607578676942,2016Real Madrid,1,2016Real Madrid,2016GER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
615,2016,West Ham,Premier League,Dimitri Payet,FRA,"FW,MF",28.0,1987.0,30.0,29.0,2568.0,28.5,9.0,12.0,9.0,0.0,0.0,3.0,0.0,0.32,0.42,0.74,0.32,0.74,https://fbref.com/en/players/58ae47b2/Dimitri-Payet,,,,,,,,,,2016Dimitri Payet,Dimitri Payet,France,West Ham United,0.0006422607578676942,2016West Ham,0,2016West Ham,2016FRA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
616,2016,Manchester City,Premier League,Sergio Agüero,ARG,FW,27.0,1988.0,30.0,29.0,2360.0,26.2,24.0,2.0,20.0,4.0,5.0,1.0,0.0,0.92,0.08,0.99,0.76,0.84,https://fbref.com/en/players/4d034881/Sergio-Aguero,,,,,,,,,,2016Sergio Agüero,Sergio Agüero,Argentine,Manchester City,0.0,2016Manchester City,0,2016Manchester City,2016ARG,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
617,2016,Manchester City,Premier League,Kevin De Bruyne,BEL,MF,24.0,1991.0,25.0,22.0,2002.0,22.2,7.0,9.0,7.0,0.0,0.0,2.0,0.0,0.31,0.4,0.72,0.31,0.72,https://fbref.com/en/players/e46012d4/Kevin-De-Bruyne,,,,,,,,,,2016Kevin De Bruyne,Kevin De Bruyne,Belgique,Manchester City,0.0,2016Manchester City,0,2016Manchester City,2016BEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
618,2016,Wolfsburg,Bundesliga,Kevin De Bruyne,BEL,MF,24.0,1991.0,2.0,2.0,164.0,1.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/e46012d4/Kevin-De-Bruyne,,,,,,,,,,2016Kevin De Bruyne,Kevin De Bruyne,Belgique,Manchester City,0.0,2016Wolfsburg,0,2016Wolfsburg,2016BEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
619,2016,Juventus,Serie A,Paulo Dybala,ARG,FW,21.0,1993.0,34.0,29.0,2443.0,27.1,19.0,9.0,13.0,6.0,6.0,1.0,0.0,0.7,0.33,1.03,0.48,0.81,https://fbref.com/en/players/e0921a4f/Paulo-Dybala,,,,,,,,,,2016Paulo Dybala,Paulo Dybala,Argentine,Juventus FC,0.0,2016Juventus,0,2016Juventus,2016ARG,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
620,2016,Atlético Madrid,La Liga,Diego Godín,URU,DF,29.0,1986.0,31.0,31.0,2645.0,29.4,1.0,1.0,1.0,0.0,0.0,6.0,1.0,0.03,0.03,0.07,0.03,0.07,https://fbref.com/en/players/fc4f85b1/Diego-Godin,,,,,,,,,,2016Diego Godín,Diego Godín,Uruguay,Atlético Madrid,0.0,2016Atlético Madrid,0,2016Atlético Madrid,2016URU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
621,2016,Napoli,Serie A,Gonzalo Higuaín,ARG,FW,27.0,1987.0,35.0,35.0,2958.0,32.9,36.0,2.0,33.0,3.0,3.0,2.0,1.0,1.1,0.06,1.16,1.0,1.06,https://fbref.com/en/players/8a08491a/Gonzalo-Higuain,,,,,,,,,,2016Gonzalo Higuaín,Gonzalo Higuaín,Argentine,SSC Naples Juventus FC,0.0,2016Napoli,0,2016Napoli,2016ARG,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
622,2016,Barcelona,La Liga,Andrés Iniesta,ESP,MF,31.0,1984.0,28.0,25.0,2243.0,24.9,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.04,0.08,0.12,0.04,0.12,https://fbref.com/en/players/cfd65a29/Andres-Iniesta,,,,,,,,,,2016Andrés Iniesta,Andrés Iniesta,Espagne,FC Barcelone,0.0,2016Barcelona,0,2016Barcelona,2016ESP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
623,2016,Atlético Madrid,La Liga,Koke,ESP,MF,23.0,1992.0,35.0,34.0,2965.0,32.9,5.0,14.0,5.0,0.0,0.0,4.0,0.0,0.15,0.42,0.58,0.15,0.58,https://fbref.com/en/players/55126f3b/Koke,,,,,,,,,,2016Koke,Koke,Espagne,Atlético Madrid,0.0,2016Atlético Madrid,0,2016Atlético Madrid,2016ESP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
624,2016,Tottenham,Premier League,Hugo Lloris,FRA,GK,28.0,1986.0,37.0,37.0,3330.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/8f62b6ee/Hugo-Lloris,,,,,,,,,,2016Hugo Lloris,Hugo Lloris,France,Tottenham Hotspur,0.0,2016Tottenham,0,2016Tottenham,2016FRA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
625,2016,Bayern Munich,Bundesliga,Thomas Müller,GER,"MF,FW",25.0,1989.0,31.0,26.0,2341.0,26.0,20.0,5.0,15.0,5.0,6.0,4.0,0.0,0.77,0.19,0.96,0.58,0.77,https://fbref.com/en/players/3c6089ab/Thomas-Muller,,,,,,,,,,2016Thomas Müller,Thomas Müller,Allemagne,Bayern Munich,0.0,2016Bayern Munich,0,2016Bayern Munich,2016GER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
